Files already downloaded and verified
Files already downloaded and verified

===> epoch: 1/200
train:
 1/782 [>...............................................................................]  Step: 5s195ms | Tot: 0ms | Loss: 4.6259 | Acc: 1.562% (1/64)
 2/782 [>...............................................................................]  Step: 136ms | Tot: 136ms | Loss: 4.6447 | Acc: 0.781% (1/128)
 3/782 [>...............................................................................]  Step: 133ms | Tot: 270ms | Loss: 4.6311 | Acc: 0.521% (1/192)
 4/782 [>...............................................................................]  Step: 133ms | Tot: 403ms | Loss: 4.6366 | Acc: 0.391% (1/256)
 5/782 [>...............................................................................]  Step: 133ms | Tot: 536ms | Loss: 4.6366 | Acc: 0.625% (2/320)
 6/782 [>...............................................................................]  Step: 132ms | Tot: 669ms | Loss: 4.6378 | Acc: 0.521% (2/384)
 91/782 [=========>......................................................................]  Step: 134ms | Tot: 12s50ms | Loss: nan | Acc: 1.202% (70/5824)
 92/782 [=========>......................................................................]  Step: 133ms | Tot: 12s183ms | Loss: nan | Acc: 1.189% (70/5888)
 93/782 [=========>......................................................................]  Step: 136ms | Tot: 12s319ms | Loss: nan | Acc: 1.176% (70/5952)
 94/782 [=========>......................................................................]  Step: 135ms | Tot: 12s455ms | Loss: nan | Acc: 1.164% (70/6016)
 95/782 [=========>......................................................................]  Step: 138ms | Tot: 12s594ms | Loss: nan | Acc: 1.168% (71/6080)
 96/782 [=========>......................................................................]  Step: 139ms | Tot: 12s733ms | Loss: nan | Acc: 1.156% (71/6144)
 97/782 [=========>......................................................................]  Step: 138ms | Tot: 12s872ms | Loss: nan | Acc: 1.160% (72/6208)
 98/782 [==========>.....................................................................]  Step: 140ms | Tot: 13s12ms | Loss: nan | Acc: 1.148% (72/6272)
 99/782 [==========>.....................................................................]  Step: 137ms | Tot: 13s149ms | Loss: nan | Acc: 1.184% (75/6336)
 100/782 [==========>.....................................................................]  Step: 139ms | Tot: 13s288ms | Loss: nan | Acc: 1.188% (76/6400)
 101/782 [==========>.....................................................................]  Step: 137ms | Tot: 13s425ms | Loss: nan | Acc: 1.191% (77/6464)
 102/782 [==========>.....................................................................]  Step: 132ms | Tot: 13s557ms | Loss: nan | Acc: 1.180% (77/6528)
 103/782 [==========>.....................................................................]  Step: 133ms | Tot: 13s691ms | Loss: nan | Acc: 1.183% (78/6592)
 104/782 [==========>.....................................................................]  Step: 139ms | Tot: 13s831ms | Loss: nan | Acc: 1.172% (78/6656)
 105/782 [==========>.....................................................................]  Step: 142ms | Tot: 13s973ms | Loss: nan | Acc: 1.161% (78/6720)
 106/782 [==========>.....................................................................]  Step: 140ms | Tot: 14s113ms | Loss: nan | Acc: 1.150% (78/6784)
 107/782 [==========>.....................................................................]  Step: 144ms | Tot: 14s257ms | Loss: nan | Acc: 1.139% (78/6848)
 108/782 [===========>....................................................................]  Step: 140ms | Tot: 14s398ms | Loss: nan | Acc: 1.143% (79/6912)
 109/782 [===========>....................................................................]  Step: 132ms | Tot: 14s531ms | Loss: nan | Acc: 1.161% (81/6976)
 110/782 [===========>....................................................................]  Step: 131ms | Tot: 14s662ms | Loss: nan | Acc: 1.165% (82/7040)
 111/782 [===========>....................................................................]  Step: 131ms | Tot: 14s793ms | Loss: nan | Acc: 1.168% (83/7104)
 112/782 [===========>....................................................................]  Step: 131ms | Tot: 14s925ms | Loss: nan | Acc: 1.186% (85/7168)
 113/782 [===========>....................................................................]  Step: 133ms | Tot: 15s58ms | Loss: nan | Acc: 1.189% (86/7232)
 114/782 [===========>....................................................................]  Step: 130ms | Tot: 15s189ms | Loss: nan | Acc: 1.179% (86/7296)
 115/782 [===========>....................................................................]  Step: 132ms | Tot: 15s322ms | Loss: nan | Acc: 1.168% (86/7360)
 116/782 [===========>....................................................................]  Step: 131ms | Tot: 15s454ms | Loss: nan | Acc: 1.158% (86/7424)
 117/782 [===========>....................................................................]  Step: 131ms | Tot: 15s585ms | Loss: nan | Acc: 1.149% (86/7488)
 118/782 [============>...................................................................]  Step: 132ms | Tot: 15s718ms | Loss: nan | Acc: 1.152% (87/7552)
 119/782 [============>...................................................................]  Step: 132ms | Tot: 15s850ms | Loss: nan | Acc: 1.155% (88/7616)
 120/782 [============>...................................................................]  Step: 130ms | Tot: 15s980ms | Loss: nan | Acc: 1.146% (88/7680)
 121/782 [============>...................................................................]  Step: 133ms | Tot: 16s114ms | Loss: nan | Acc: 1.162% (90/7744)
